id,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
24895130,80%,0%,f,f,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,$399.00,1.0,1125.0,30,60,90,365,8,0,0,3.63,3.63,4.88,3.75,4.88,4.38,3.38,0.14
25343285,100%,100%,f,t,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"$1,450.00",3.0,1125.0,0,0,22,297,3,0,0,5.0,5.0,5.0,4.33,5.0,5.0,5.0,0.07
25345464,100%,90%,f,t,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,$250.00,1.0,1125.0,27,57,87,177,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.03
25888329,100%,100%,f,t,Private room in home,Private room,2,1 private bath,1.0,1.0,$536.00,1.0,1125.0,30,60,90,180,67,12,1,4.67,4.75,4.72,4.57,4.82,4.67,4.67,1.16
25888799,100%,58%,f,t,Entire serviced apartment,Entire home/apt,4,1.5 baths,2.0,3.0,"$1,100.00",2.0,1125.0,17,17,17,204,5,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.09
25889443,99%,100%,t,t,Private room in condo,Private room,1,1 shared bath,1.0,1.0,$204.00,1.3,38.3,24,54,84,84,119,29,1,4.76,4.89,4.85,4.64,4.91,4.94,4.74,2.05
25893471,99%,100%,t,t,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,$323.00,1.3,796.8,24,54,84,84,66,23,1,4.88,4.92,4.95,4.86,4.95,4.98,4.86,1.13
24897181,100%,,f,f,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,"$5,000.00",1.0,1125.0,0,0,0,0,2,0,0,5.0,4.5,5.0,5.0,5.0,4.0,5.0,0.05
25896286,33%,63%,f,t,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,$454.00,1.0,1125.0,30,60,90,269,2,2,0,5.0,4.5,5.0,4.5,5.0,5.0,5.0,0.39
25356958,100%,80%,f,t,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,"$1,000.00",1.0,1125.0,22,49,78,353,11,11,3,4.91,5.0,5.0,5.0,5.0,5.0,4.82,1.32
24910466,100%,100%,t,t,Entire loft,Entire home/apt,3,1 bath,1.0,2.0,"$1,839.00",2.0,1125.0,4,7,22,254,201,47,5,4.91,4.95,4.98,4.92,4.98,4.99,4.89,3.44
25357985,100%,99%,f,t,Entire rental unit,Entire home/apt,2,1 bath,,1.0,$521.00,1.0,35.0,8,34,64,64,28,14,1,4.32,4.14,4.39,4.68,4.39,4.79,4.0,0.47
25916723,,25%,f,t,Private room in dorm,Private room,1,1 shared bath,1.0,1.0,$726.00,2.0,30.0,29,59,89,364,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.04
25914704,97%,100%,f,t,Entire condo,Entire home/apt,2,1 bath,1.0,1.0,"$1,199.00",19.4,1125.0,0,0,0,152,55,8,1,4.76,4.85,4.81,4.89,4.85,4.93,4.69,0.96
24916567,100%,100%,t,t,Entire loft,Entire home/apt,2,1.5 baths,1.0,2.0,"$2,523.00",1.3,1125.0,12,32,59,298,144,42,4,4.81,4.89,4.92,4.9,4.95,4.99,4.83,2.68
26366428,100%,100%,f,t,Entire rental unit,Entire home/apt,2,1 bath,,,"$2,879.00",2.0,360.0,22,44,74,348,0,0,0,,,,,,,,
24916713,100%,100%,t,t,Entire loft,Entire home/apt,4,2.5 baths,2.0,3.0,"$3,174.00",1.2,1125.0,12,37,67,314,117,39,1,4.86,4.89,4.91,4.91,4.89,4.97,4.82,2.17
24917056,,100%,f,f,Private room in dome,Private room,1,1.5 shared baths,1.0,1.0,$350.00,1.0,1125.0,30,60,90,365,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03
26366491,100%,100%,f,t,Entire rental unit,Entire home/apt,2,1 bath,,,"$2,927.00",2.0,360.0,14,43,73,347,0,0,0,,,,,,,,
26367167,100%,40%,f,t,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,$672.00,4.0,1125.0,1,1,2,2,0,0,0,,,,,,,,
25918465,,100%,f,t,Private room in hut,Private room,6,2 shared baths,3.0,3.0,"$6,500.00",1.0,365.0,30,60,90,364,0,0,0,,,,,,,,
24918324,100%,99%,t,t,Entire loft,Entire home/apt,4,1 bath,1.0,2.0,"$1,201.00",1.0,1125.0,22,52,82,345,189,32,2,4.89,4.94,4.92,4.92,4.85,4.93,4.88,3.42
25921293,,50%,f,t,Private room in home,Private room,2,1 shared bath,1.0,1.0,"$1,000.00",1.0,1125.0,29,59,89,179,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.03
24920134,100%,98%,f,t,Entire condo,Entire home/apt,7,2 baths,3.0,4.0,"$1,619.00",2.0,1125.0,9,33,36,36,269,55,4,4.79,4.89,4.83,4.82,4.89,4.92,4.85,4.55
24938367,,100%,f,t,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,$750.00,30.0,1125.0,30,60,90,270,37,0,0,4.84,4.84,4.89,4.89,4.89,4.81,4.86,0.63
